ref_area,indicator,source,time,obs_value,note_indicator,note_source
ALB,ILR_CBCT_NOC_RT,FX:7131,2009,40.6,,S9:66
ALB,ILR_CBCT_NOC_RT,FX:7131,2012,45.5,,S9:66
ALB,ILR_CBCT_NOC_RT,FX:7131,2013,55.8,,S9:66
ALB,ILR_CBCT_NOC_RT,FX:7131,2014,56.5,,S9:66
ALB,ILR_CBCT_NOC_RT,FX:7131,2015,56.6,,S9:66
ALB,ILR_CBCT_NOC_RT,FX:7131,2016,54.4,,S9:66
ALB,ILR_CBCT_NOC_RT,FX:7131,2017,50.9,,S9:66
ALB,ILR_CBCT_NOC_RT,FX:7131,2018,51.1,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2008,50.9,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2009,50.6,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2010,52.4,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2011,51.2,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2012,50.5,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2013,51.5,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2014,51,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2015,52.9,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2016,51.8,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2017,48.4,,S9:66
ARG,ILR_CBCT_NOC_RT,FX:8237,2018,49.4,,S9:66
ARM,ILR_CBCT_NOC_RT,FI:171,2009,25.3,,S9:66
ARM,ILR_CBCT_NOC_RT,FI:171,2010,25.1,,S9:66
ARM,ILR_CBCT_NOC_RT,FI:171,2015,24.9,,S9:66
ARM,ILR_CBCT_NOC_RT,FI:171,2016,24.1,,S9:66
ARM,ILR_CBCT_NOC_RT,FI:171,2017,25.7,,S9:66
ARM,ILR_CBCT_NOC_RT,FI:171,2018,19.9,,S9:66
ARM,ILR_CBCT_NOC_RT,FI:171,2019,19.4,,S9:66
AUS,ILR_CBCT_NOC_RT,DA:603,2004,64.4,T32:3476,S9:66
AUS,ILR_CBCT_NOC_RT,DA:603,2006,63.3,T32:3476,S9:66
AUS,ILR_CBCT_NOC_RT,DA:603,2008,59.3,T32:3476,S9:66
AUS,ILR_CBCT_NOC_RT,DA:603,2010,61.1,T32:3476,S9:66
AUS,ILR_CBCT_NOC_RT,DA:603,2012,60,T32:3476,S9:66
AUS,ILR_CBCT_NOC_RT,DA:603,2014,62,T32:3476,S9:66
AUS,ILR_CBCT_NOC_RT,DA:603,2016,61.3,T32:3476,S9:66
AUS,ILR_CBCT_NOC_RT,DA:603,2018,61.2,T32:3476,S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2000,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2001,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2002,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2003,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2004,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2005,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2006,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2007,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2008,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2009,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2010,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2011,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2012,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2013,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2014,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2015,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2016,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2017,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2018,98,T32:3476,S7:57_S9:66
AUT,ILR_CBCT_NOC_RT,XX:8241,2019,98,T32:3476,S7:57_S9:66
BEL,ILR_CBCT_NOC_RT,FX:8243,2000,96,T32:3476,S9:66
BEL,ILR_CBCT_NOC_RT,FX:8243,2001,96,T32:3476,S9:66
BEL,ILR_CBCT_NOC_RT,FX:8243,2002,96,T32:3476,S9:66
